publicationNumber,applicationDate,publicationDate,priorityCountryRegion,supplementaryPriorityCountryRegion,numberOfInventors,IPC,numberOfClaims,numberOfPagesOfDocuments,numberOfCitedPatents,numberOfPatentsCitedBy,numberOfNonPatentLiteratureCitations,patsnapFamilyPatentApplicationNumber,patSnapFamilyCitedPatentTotal,numberOfCitationsWithin3Years,numberOfCitationsWithin5Years,inpadocFamilyPatentApplicationNumber,simpleFamilyCitedPatentTotal,currentNumberOfApplicantsPatentees,simpleFamilyPatentApplicationNumber,legalStatusEvent,patentType
WO2012131385A2,2012/3/30,2012/10/4,GB,GB,1,C01B3/36,34,24,8,10,1,11,23,7,7,11,23,2,11,PCT进入指定国（指定期满）,发明申请
EP2694433A2,2012/3/30,2014/2/12,GB,GB,1,C01B3/36 | C10G2/00,34,24,0,0,0,11,23,0,0,11,23,1,11,权利终止,发明申请
AU2012235888A1,2012/3/30,2013/10/24,GB,GB,1,C10G2/00 | C01B3/36,34,24,0,0,0,11,23,0,0,11,23,1,11,权利终止,发明申请
CA2831017A1,2012/3/30,2012/10/4,GB,GB,1,C01B3/36 | C10G2/00,34,25,0,0,0,11,23,0,0,11,23,1,11,权利终止,发明申请
WO2012131385A3,2012/3/30,2012/11/15,GB,GB,1,C10G2/00 | C01B3/36,34,4,4,0,0,11,23,0,0,11,23,2,11,PCT进入指定国（指定期满）,发明申请
AU2012235888B2,2012/3/30,2016/5/12,GB,GB,1,C01B3/36 | C10G2/00,20,26,4,0,0,11,23,0,0,11,23,1,11,权利终止,授权发明
WO2023012372A1,2022/8/8,2023/2/9,EP | EP,EP | EP,3,C25B1/46 | C25B9/00 | C25B9/19 | C25B15/00 | C25B15/08 | B01D53/78 | F23J15/04,65,89,6,0,1,2,0,0,0,2,0,2,2,PCT进入指定国（指定期内）,发明申请
CA3226605A1,2022/8/8,2023/2/9,EP | EP,EP | EP,3,C25B1/46 | C25B9/19 | C25B15/08 | F23J15/04,65,89,0,0,0,2,0,0,0,2,0,2,2,公开,发明申请
US20220170366A1,2021/9/29,2022/6/2,CN,CN,2,E21B49/00 | E21B49/08 | E21B43/30,8,46,3,12,4,2,15,12,12,2,15,1,2,授权,发明申请
US11834947B2,2021/9/29,2023/12/5,CN,CN,2,E21B49/00 | E21B43/30 | E21B49/08,7,46,3,0,4,2,15,0,0,2,15,1,2,授权,授权发明
US20160115768A1,2015/10/6,2016/4/28,KR,KR,2,E21B41/00 | E21B47/00,9,11,6,4,1,2,6,3,3,2,6,1,2,撤回-视为撤回,发明申请
US20150120255A1,2014/7/8,2015/4/30,US,US,3,E21B43/00,77,76,1,42,0,2,45,17,29,1,45,1,1,授权,发明申请
US9790770B2,2014/7/8,2017/10/17,US,US,3,G06F17/50 | E21B43/00,77,87,9,10,38,2,45,4,4,1,45,1,1,授权,授权发明
WO2024014593A1,2022/7/18,2024/1/18,KR,KR,1,C01B3/34 | C25B1/04 | C25B15/08,26,42,4,0,0,2,0,0,0,2,0,1,2,PCT未进入指定国（指定期内）,发明申请
WO2024014594A1,2022/7/18,2024/1/18,KR,KR,1,C01B3/34 | H01M8/0612 | H01M8/0656 | H01M8/0668 | C25B1/04 | C25B15/08,28,49,4,0,0,2,0,0,0,2,0,1,2,PCT未进入指定国（指定期内）,发明申请
US20200308086A1,2020/3/27,2020/10/1,US,US,2,C07C4/04 | C07C4/06 | C07C5/333 | B01J8/06 | B01J8/08 | B01J8/18,20,15,0,0,0,3,0,0,0,3,0,1,3,授权 | 许可,发明申请
US11267768B2,2020/3/27,2022/3/8,US,US,2,C07C4/04 | C07C4/06 | C07C5/333 | B01J8/06 | B01J8/08 | B01J8/18,20,16,4,0,1,3,0,0,0,3,0,1,3,授权 | 许可,授权发明
GB202313497D0,2023/9/5,2023/10/18,CN,CN,-,-,-,-,0,0,0,2,0,0,0,2,0,1,2,实质审查,发明申请
CA2009764A1,1990/2/9,1991/8/9,-,CA,1,E21B43/00,6,20,0,0,0,1,0,0,0,1,0,2,1,权利终止,发明申请
GB202313427D0,2023/9/4,2023/10/18,CN,CN,-,-,-,-,0,0,0,2,0,0,0,2,0,1,2,实质审查,发明申请
AU2014901918P0,2014/5/22,2014/6/5,-,AU,1,-,-,60,0,0,0,16,10,0,0,16,10,1,16,撤回-视为撤回,发明申请
US20210061655A1,2019/1/24,2021/3/4,US,US,2,C01B3/36 | C01B3/50 | B01J19/24 | C25B1/04 | C25B15/08,20,17,2,5,0,3,9,1,1,3,9,1,3,实质审查,发明申请
AU2013901806P0,2013/5/21,2013/6/13,-,AU,1,-,-,-,0,0,0,1,0,0,0,1,0,1,1,撤回-视为撤回,发明申请
